4193659	73452
4191721	147152
4188594	218751
4184102	292342
4178363	365306
4171297	438691
4162944	511933
4153595	582928
4142709	655845
4130543	728551
4117101	801039
4102503	872711
4086991	942690
4069791	1014375
4051336	1085749
4031645	1156726
4011293	1225443
3989135	1295756
3966103	1364623
3941506	1434118
3915691	1503174
3888690	1571700
3861267	1637920
3831885	1705528
3801316	1772619
3769825	1838637
3736928	1904615
3702879	1969997
3668703	2032926
3632408	2097094
3594989	2160609
3556460	2223461
3517116	2285188
3477553	2344953
3435803	2405709
3392990	2465726
3349167	2524926
3305536	2581786
3259646	2639486
3213123	2695928
3165240	2751987
3116386	2807191
3067960	2860035
3017266	2913467
2966047	2965595
2913467	3017266
2860035	3067960
2807191	3116386
2751987	3165240
2695928	3213123
2639486	3259646
2581786	3305536
2524926	3349167
2465726	3392990
2405709	3435803
2344953	3477553
2285188	3517116
2223461	3556460
2160609	3594989
2097094	3632408
2032926	3668703
1969997	3702879
1904615	3736928
1838637	3769825
1772619	3801316
1705528	3831885
1637920	3861267
1571700	3888690
1503174	3915691
1434118	3941506
1364623	3966103
1295756	3989135
1225443	4011293
1156726	4031645
1085749	4051336
1014375	4069791
942690	4086991
872711	4102503
801039	4117101
728551	4130543
655845	4142709
582928	4153595
511933	4162944
438691	4171297
365306	4178363
292342	4184102
218751	4188594
147152	4191721
73452	4193659
-199	4194302
-73452	4193659
-147152	4191721
-218751	4188594
-292342	4184102
-365306	4178363
-438691	4171297
-511933	4162944
-582928	4153595
-655845	4142709
-728551	4130543
-801039	4117101
-872711	4102503
-942690	4086991
-1014375	4069791
-1085749	4051336
-1156726	4031645
-1225443	4011293
-1295756	3989135
-1364623	3966103
-1434118	3941506
-1503174	3915691
-1571700	3888690
-1637920	3861267
-1705528	3831885
-1772619	3801316
-1838637	3769825
-1904615	3736928
-1969997	3702879
-2032926	3668703
-2097094	3632408
-2160609	3594989
-2223461	3556460
-2285188	3517116
-2344953	3477553
-2405709	3435803
-2465726	3392990
-2524926	3349167
-2581786	3305536
-2639486	3259646
-2695928	3213123
-2751987	3165240
-2807191	3116386
-2860035	3067960
-2913467	3017266
-2966047	2965595
-3017266	2913467
-3067960	2860035
-3116386	2807191
-3165240	2751987
-3213123	2695928
-3259646	2639486
-3305536	2581786
-3349167	2524926
-3392990	2465726
-3435803	2405709
-3477553	2344953
-3517116	2285188
-3556460	2223461
-3594989	2160609
-3632408	2097094
-3668703	2032926
-3702879	1969997
-3736928	1904615
-3769825	1838637
-3801316	1772619
-3831885	1705528
-3861267	1637920
-3888690	1571700
-3915691	1503174
-3941506	1434118
-3966103	1364623
-3989135	1295756
-4011293	1225443
-4031645	1156726
-4051336	1085749
-4069791	1014375
-4086991	942690
-4102503	872711
-4117101	801039
-4130543	728551
-4142709	655845
-4153595	582928
-4162944	511933
-4171297	438691
-4178363	365306
-4184102	292342
-4188594	218751
-4191721	147152
-4193659	73452
-4194302	-199
-4193659	-73452
-4191721	-147152
-4188594	-218751
-4184102	-292342
-4178363	-365306
-4171297	-438691
-4162944	-511933
-4153595	-582928
-4142709	-655845
-4130543	-728551
-4117101	-801039
-4102503	-872711
-4086991	-942690
-4069791	-1014375
-4051336	-1085749
-4031645	-1156726
-4011293	-1225443
-3989135	-1295756
-3966103	-1364623
-3941506	-1434118
-3915691	-1503174
-3888690	-1571700
-3861267	-1637920
-3831885	-1705528
-3801316	-1772619
-3769825	-1838637
-3736928	-1904615
-3702879	-1969997
-3668703	-2032926
-3632408	-2097094
-3594989	-2160609
-3556460	-2223461
-3517116	-2285188
-3477553	-2344953
-3435803	-2405709
-3392990	-2465726
-3349167	-2524926
-3305536	-2581786
-3259646	-2639486
-3213123	-2695928
-3165240	-2751987
-3116386	-2807191
-3067960	-2860035
-3017266	-2913467
-2966047	-2965595
-2913467	-3017266
-2860035	-3067960
-2807191	-3116386
-2751987	-3165240
-2695928	-3213123
-2639486	-3259646
-2581786	-3305536
-2524926	-3349167
-2465726	-3392990
-2405709	-3435803
-2344953	-3477553
-2285188	-3517116
-2223461	-3556460
-2160609	-3594989
-2097094	-3632408
-2032926	-3668703
-1969997	-3702879
-1904615	-3736928
-1838637	-3769825
-1772619	-3801316
-1705528	-3831885
-1637920	-3861267
-1571700	-3888690
-1503174	-3915691
-1434118	-3941506
-1364623	-3966103
-1295756	-3989135
-1225443	-4011293
-1156726	-4031645
-1085749	-4051336
-1014375	-4069791
-942690	-4086991
-872711	-4102503
-801039	-4117101
-728551	-4130543
-655845	-4142709
-582928	-4153595
-511933	-4162944
-438691	-4171297
-365306	-4178363
-292342	-4184102
-218751	-4188594
-147152	-4191721
-73452	-4193659
199	-4194302
73452	-4193659
147152	-4191721
218751	-4188594
292342	-4184102
365306	-4178363
438691	-4171297
511933	-4162944
582928	-4153595
655845	-4142709
728551	-4130543
801039	-4117101
872711	-4102503
942690	-4086991
1014375	-4069791
1085749	-4051336
1156726	-4031645
1225443	-4011293
1295756	-3989135
1364623	-3966103
1434118	-3941506
1503174	-3915691
1571700	-3888690
1637920	-3861267
1705528	-3831885
1772619	-3801316
1838637	-3769825
1904615	-3736928
1969997	-3702879
2032926	-3668703
2097094	-3632408
2160609	-3594989
2223461	-3556460
2285188	-3517116
2344953	-3477553
2405709	-3435803
2465726	-3392990
2524926	-3349167
2581786	-3305536
2639486	-3259646
2695928	-3213123
2751987	-3165240
2807191	-3116386
2860035	-3067960
2913467	-3017266
2966047	-2965595
3017266	-2913467
3067960	-2860035
3116386	-2807191
3165240	-2751987
3213123	-2695928
3259646	-2639486
